doi,task,taskLabel,score,rank
10.1109/NMITCON58196.2023.10275902,http://h-da.de/ml-ontology/regression,regression,0.5169042944908142,1
10.1109/NMITCON58196.2023.10275902,http://h-da.de/ml-ontology/tabular_regression,tabular regression,0.3922339677810669,2
10.1109/NMITCON58196.2023.10275902,http://h-da.de/ml-ontology/image_regression,image regression,0.38837170600891113,3
10.1109/NMITCON58196.2023.10275902,http://h-da.de/ml-ontology/video_regression,video regression,0.35977816581726074,4
10.1109/NMITCON58196.2023.10275902,http://h-da.de/ml-ontology/feature_selection,feature selection,0.35898226499557495,5
10.1109/NMITCON65824.2025.11188917,http://h-da.de/ml-ontology/action_recognition,action recognition,0.3626411557197571,1
10.1109/NMITCON65824.2025.11188917,http://h-da.de/ml-ontology/feature_reduction,feature reduction,0.3525261878967285,2
10.1109/NNICE64954.2025.11064314,http://h-da.de/ml-ontology/vertex_classification,vertex classification,0.3607805371284485,1
10.1109/NOMS57970.2025.11073591,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.38275831937789917,1
10.1109/NOMS57970.2025.11073591,http://h-da.de/ml-ontology/object_detection,object detection,0.3712553381919861,2
10.1109/NOMS57970.2025.11073591,http://h-da.de/ml-ontology/action_recognition,action recognition,0.35907799005508423,3
10.1109/NOMS57970.2025.11073591,http://h-da.de/ml-ontology/video_regression,video regression,0.3516853153705597,4
10.1109/NicoInt.2016.15,http://h-da.de/ml-ontology/image_classification,image classification,0.5861196517944336,1
10.1109/NicoInt.2016.15,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3959276080131531,2
10.1109/NicoInt.2016.15,http://h-da.de/ml-ontology/binary_classification,binary classification,0.380240797996521,3
10.1109/NicoInt.2016.15,http://h-da.de/ml-ontology/feature_reduction,feature reduction,0.3508336544036865,4
10.1109/OCEANS58557.2025.11104559,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.35612666606903076,1
10.1109/OCIT56763.2022.00028,http://h-da.de/ml-ontology/regression,regression,0.36736491322517395,1
10.1109/OJCS.2025.3577588,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.35613948106765747,1
10.1109/OJIES.2023.3323870,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.3830615282058716,1
10.1109/OJIES.2023.3323870,http://h-da.de/ml-ontology/anomaly_detection,anomaly detection,0.381807416677475,2
10.1109/OJIES.2023.3323870,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.35283154249191284,3
